"데이터기준일자","행정동","설치 수","도로명주소","설치목적","카메라화소수","보관일수","관리기관 전화번호","위도","경도"
"2023-05-17","번1동","1","서울특별시 강북구 한천로124길 13","어린이보호","200","30","02-901-7266","37.63729","127.0326"
"2023-05-17","번1동","1","서울특별시 강북구 한천로124길 13","교통단속","200","30","02-901-7266","37.63733","127.0327"
"2023-05-17","번1동","1","서울특별시 강북구 한천로124길 13","어린이보호","900","30","02-901-7266","37.63724","127.0326"
"2023-05-17","번1동","1","서울특별시 강북구 도봉로 102길 21 (번창교)","생활방범","200","30","02-901-7266","37.64209","127.0316"
"2023-05-17","번1동","1","서울특별시 강북구 도봉로98길 56","생활방범","200","30","02-901-7266","37.64091","127.0329"
"2023-05-17","번1동","1","서울특별시 강북구 한천로131길 33","생활방범","200","30","02-901-7266","37.63812","127.0269"
"2023-05-17","번1동","1","서울특별시 강북구 덕릉로51가길 12","어린이보호","200","30","02-901-7266","37.63712","127.0345"
"2023-05-17","번1동","1","서울특별시 강북구 덕릉로51가길 12","어린이보호","900","30","02-901-7266","37.63712","127.0345"
"2023-05-17","번1동","1","서울특별시 강북구 덕릉로51가길 38","어린이보호","200","30","02-901-7266","37.63789","127.0333"
"2023-05-17","번1동","1","서울특별시 강북구 덕릉로51가길 38","어린이보호","900","30","02-901-7266","37.63789","127.0333"
"2023-05-17","번1동","1","서울특별시 강북구 덕릉로51가길 38","어린이보호","200","30","02-901-7266","37.63789","127.0333"
"2023-05-17","번1동","1","서울특별시 강북구 덕릉로51가길 38","어린이보호","200","30","02-901-7266","37.63789","127.0333"
"2023-05-17","번1동","1","서울특별시 강북구 덕릉로51가길 38","어린이보호","200","30","02-901-7266","37.63789","127.0333"
"2023-05-17","번1동","1","서울특별시 강북구 덕릉로 187-14","어린이보호","200","30","02-901-7266","37.63635","127.0339"
"2023-05-17","번1동","1","서울특별시 강북구 덕릉로 187-14","교통단속","200","30","02-901-7266","37.6364","127.034"
"2023-05-17","번1동","1","서울특별시 강북구 덕릉로 187-14","어린이보호","900","30","02-901-7266","37.63634","127.0339"
"2023-05-17","인수동","1","서울특별시 강북구 인수봉로61길 6","생활방범","200","30","02-901-7266","37.6385","127.0132"
"2023-05-17","인수동","1","서울특별시 강북구 인수봉로61길 12-16","생활방범","200","30","02-901-7266","37.63911","127.0125"
"2023-05-17","인수동","1","서울특별시 강북구 인수봉로55길 21","생활방범","200","30","02-901-7266","37.63676","127.0116"
"2023-05-17","인수동","1","서울특별시 강북구 인수봉로 185-17","생활방범","200","30","02-901-7266","37.63602","127.0126"
